key,localPath,contentType,cacheControl,sha256,sizeBytes
audio/action/action_003.mp3,audio/action/action_003.mp3,audio/mpeg,"public, max-age=31536000, immutable",320a2b72f3163c50caf23776379c1cf0b2bac48399b7dc46d46f5b1644495070,1937910
previews/action/action_003_preview.mp3,previews/action/action_003_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",8d048b4d925ae1e93e63d6eaaa25ef9fc7c3594dd0a43f210696497f8eb14c78,360847
audio/action/action_004.mp3,audio/action/action_004.mp3,audio/mpeg,"public, max-age=31536000, immutable",fbefc0b627e2bac84f8c9711d96a7526a2ee2265c2dc2416b468d3c58d0f73b2,1153610
previews/action/action_004_preview.mp3,previews/action/action_004_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",86ed79272ae9b87d394956eb251f3429e095a1669c9d177a4d05cee999e0d7fb,360847
audio/action/action_005.mp3,audio/action/action_005.mp3,audio/mpeg,"public, max-age=31536000, immutable",3729b7c6887ba5865c54657234082106a221a1b094e7ac6a617f62e442c9d102,1695912
previews/action/action_005_preview.mp3,previews/action/action_005_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",ffa85700a67ff2822ce308e8ccd85880e6a3ccc5f38f94d48fd02a6e211ddc68,360847
audio/action/action_006.mp3,audio/action/action_006.mp3,audio/mpeg,"public, max-age=31536000, immutable",90eb3f950f7026dd224e25a698440e2886f4c38baf3260df3a4ef1bea4602267,474008
previews/action/action_006_preview.mp3,previews/action/action_006_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",247865e330c77fb86a3699f4014404eba61ef608dabd43e87d9ebcd804a759d6,237026
audio/emotional/emotional_001.mp3,audio/emotional/emotional_001.mp3,audio/mpeg,"public, max-age=31536000, immutable",57f80cde17873bbc073881f4c211bfb43adca2f2a94bee95afa0b43839bce394,4003674
previews/emotional/emotional_001_preview.mp3,previews/emotional/emotional_001_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",911e75d57f6e40decb6a4ecba8e7329fe3822b250f4a8e62b49fb04256cfd469,360847
audio/emotional/emotional_002.mp3,audio/emotional/emotional_002.mp3,audio/mpeg,"public, max-age=31536000, immutable",7cec1b9cfbab7f4ed13f0ae6cb84887bd12a3a482b9bf63902a6978e58ec7014,3631272
previews/emotional/emotional_002_preview.mp3,previews/emotional/emotional_002_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",12491167d349fdcd94500b7c9ab664bd35b689e396360d5dd0a2d06e68eff766,360847
audio/emotional/emotional_003.mp3,audio/emotional/emotional_003.mp3,audio/mpeg,"public, max-age=31536000, immutable",b9753bbbaeba5328f6dab9d9ccc8654ba3193e7af8e4d941e225e17f85181db7,1729767
previews/emotional/emotional_003_preview.mp3,previews/emotional/emotional_003_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",fc2ba6ab3d71a4c2feeecaaccb427971b2709e7c1434c786444b293b306b4427,360847
audio/emotional/emotional_004.mp3,audio/emotional/emotional_004.mp3,audio/mpeg,"public, max-age=31536000, immutable",5514a2d16199d57a8d76eaa60ef01d82362c86cdda14a5b20a2fc0870b92ae04,545479
previews/emotional/emotional_004_preview.mp3,previews/emotional/emotional_004_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",9da75de099cf62aa8bf8671be2ff177b3f5e43b4adcbae00b1d8993abde5c7b5,272762
audio/emotional/emotional_005.mp3,audio/emotional/emotional_005.mp3,audio/mpeg,"public, max-age=31536000, immutable",fdbaac80e5fd484a2a870ba4af2b8280aa27fdca18a9abdece13f0d9e761416c,1025714
previews/emotional/emotional_005_preview.mp3,previews/emotional/emotional_005_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",7a4b6ae55bab69ca20765c4953a970c9c8d8450c84726c478ac22857cb84a107,360847
audio/electronic/electronic_001.mp3,audio/electronic/electronic_001.mp3,audio/mpeg,"public, max-age=31536000, immutable",2ef9a25f3506dbccad8f497d001f6fe78d86e3373060ee88deb6caa023c006dd,4043798
previews/electronic/electronic_001_preview.mp3,previews/electronic/electronic_001_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",0d5ca9d903e110596fe38c341952f3066c5b51dc5b34a92c82751ddb370bee61,360847
audio/electronic/electronic_002.mp3,audio/electronic/electronic_002.mp3,audio/mpeg,"public, max-age=31536000, immutable",6c1564a28a9a3f03849f8c27b66257662d2afc4e0ff6d583e789f40406740b24,2786785
previews/electronic/electronic_002_preview.mp3,previews/electronic/electronic_002_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",b4bbf86f41684f930ff5d626e0a7e93d65aba9dadd718b89afd780fad47473a8,360847
audio/electronic/electronic_003.mp3,audio/electronic/electronic_003.mp3,audio/mpeg,"public, max-age=31536000, immutable",50f128df2a55c289cf7f2c7c796928c0eabbca188c36dd563e5412e8350b2992,2739138
previews/electronic/electronic_003_preview.mp3,previews/electronic/electronic_003_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",62e326002ea30fda28f4eefd2043dbba7d1c4e5e6e2929721b81ce9abbbdd8b3,360847
audio/electronic/electronic_004.mp3,audio/electronic/electronic_004.mp3,audio/mpeg,"public, max-age=31536000, immutable",9e00b88f71dfda5d82151e4e1049d1c78286309ea253ed2dcd5db39b3eb806ff,2271442
previews/electronic/electronic_004_preview.mp3,previews/electronic/electronic_004_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",7610debf0dd3945d2b5b6745dedc595ab068d41bf1631635d184719a42a6a222,360847
audio/electronic/electronic_005.mp3,audio/electronic/electronic_005.mp3,audio/mpeg,"public, max-age=31536000, immutable",c557954b06afabc9ac50ce06f7334b51678e4188e5de14b3db08efc08536c0ed,513505
previews/electronic/electronic_005_preview.mp3,previews/electronic/electronic_005_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",1bfef29a38d7dea7336efa13e92972a4a2e4ce2b71cb478e7f010a0aef653da4,256775
audio/retro/retro_001.mp3,audio/retro/retro_001.mp3,audio/mpeg,"public, max-age=31536000, immutable",e458995239186a068fa1360ee8ad2ef8e1dd5d1267503d192d254c41f4b37345,1441375
previews/retro/retro_001_preview.mp3,previews/retro/retro_001_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",b4f5882e34bcaef372361a3dad8c222edc662a7034eeb3cb2a7fe2c2251a89dc,360847
audio/retro/retro_002.mp3,audio/retro/retro_002.mp3,audio/mpeg,"public, max-age=31536000, immutable",17e16d7b8c66f4c734dc8af793138cb3dcef4ce4ef2d96aff3ba1550ce47f3a6,1590586
previews/retro/retro_002_preview.mp3,previews/retro/retro_002_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",5ef70888940c650d2d77e16d24389bec3a50598bd1b98c96b1689e84a10234f0,360847
audio/retro/retro_003.mp3,audio/retro/retro_003.mp3,audio/mpeg,"public, max-age=31536000, immutable",70e64b1057a7055370fcb7db214d51d33952088c85104969f495f72f36dc6627,1331034
previews/retro/retro_003_preview.mp3,previews/retro/retro_003_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",2b2657c38be8f7b54165314526c6f0829d3212f14bc85c680fc72ef2708263b0,360847
audio/retro/retro_004.mp3,audio/retro/retro_004.mp3,audio/mpeg,"public, max-age=31536000, immutable",f67a5f73a76059e26026229b7d98dec618dc057aa6b6675b11e3d9a1689570d6,1692777
previews/retro/retro_004_preview.mp3,previews/retro/retro_004_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",454829788cfdc7b7c771f8d67616c499cf5a77aac95ac2689ef9e42eb2bc314b,360847
audio/retro/retro_005.mp3,audio/retro/retro_005.mp3,audio/mpeg,"public, max-age=31536000, immutable",a68b80e8ebccde0462a7ef03b51cb442dad8d5f7cb7289e9c02378c84f4f3c72,1318495
previews/retro/retro_005_preview.mp3,previews/retro/retro_005_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",6ca4cf2996803b3a60d3e62d527257270bfb52eec9220ee647dd79aa5f4afaa1,360847
audio/ambient/ambient_001.mp3,audio/ambient/ambient_001.mp3,audio/mpeg,"public, max-age=31536000, immutable",7215ad4ba0374ccd7b586e070ffad61cb60c7d52c9ed2afae394cb64a4500016,7973450
previews/ambient/ambient_001_preview.mp3,previews/ambient/ambient_001_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",f8e6dc641d248c0208edfbaed1324b8860e009d08913682334c4cd2509f7e56a,360847
audio/ambient/ambient_002.mp3,audio/ambient/ambient_002.mp3,audio/mpeg,"public, max-age=31536000, immutable",370d81674cf80edd20f178c16868ea8d40c1dabcbc657ebd8d6a004895818e04,3744748
previews/ambient/ambient_002_preview.mp3,previews/ambient/ambient_002_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",ecd92118c2f221d8cbe545ff728e7fc08a37d989506ff96086a7103482234b6f,360847
audio/ambient/ambient_003.mp3,audio/ambient/ambient_003.mp3,audio/mpeg,"public, max-age=31536000, immutable",87868558ff949687f38996889115b65c3df9c0ff56351fa4516a5181eea3890f,13276725
previews/ambient/ambient_003_preview.mp3,previews/ambient/ambient_003_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",e2cd448d21db2ceee2a9756b1360c69949cd6f59b963f1a0fdb043cddb7991a6,360847
audio/ambient/ambient_004.mp3,audio/ambient/ambient_004.mp3,audio/mpeg,"public, max-age=31536000, immutable",2f248c0e952c874439ff701ef2e12ba1e66f81eb0c5ad0a51282edbd6a76ae4f,9333280
previews/ambient/ambient_004_preview.mp3,previews/ambient/ambient_004_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",19c368d2178728ce3f1eb10da32badef826e769d9d248e48479a6145629f9164,360847
audio/ambient/ambient_005.mp3,audio/ambient/ambient_005.mp3,audio/mpeg,"public, max-age=31536000, immutable",11290a07b59f51fcf125bad69f70738e71e7700047db82fc9826bcac7a48a507,3143514
previews/ambient/ambient_005_preview.mp3,previews/ambient/ambient_005_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",cef3ae420a3ee106213a209fed2245953900d0cc4914fbef9a352261e18f94e6,360847
audio/cinematic/cinematic_011.mp3,audio/cinematic/cinematic_011.mp3,audio/mpeg,"public, max-age=31536000, immutable",6ffc57155a9d04df16407a861112cc2e22313d4869288eff847fdd9754bfaf3e,308496
previews/cinematic/cinematic_011_preview.mp3,previews/cinematic/cinematic_011_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",0016a98692c0da09685918439a3b20f1340db1b920ea2efefaf4047336872de8,154270
audio/cinematic/cinematic_012.mp3,audio/cinematic/cinematic_012.mp3,audio/mpeg,"public, max-age=31536000, immutable",0118a408694147298a2201832e0d37da2b62c57c9280adb28ca2e4be7e36465f,2257649
previews/cinematic/cinematic_012_preview.mp3,previews/cinematic/cinematic_012_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",908e83e20cbf6409cb86ae88263144c25cd8eddc9d8765ee3425493c876aca20,360847
audio/cinematic/cinematic_013.mp3,audio/cinematic/cinematic_013.mp3,audio/mpeg,"public, max-age=31536000, immutable",f91d4f170529d0e12d95270b30212fc96bb368052f57366d614868603d535333,1537923
previews/cinematic/cinematic_013_preview.mp3,previews/cinematic/cinematic_013_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",a32afa01ccf480ae8fcc0895cb48ac2c4e0884dc933ae95365c384c1f62e253c,360847
audio/cinematic/cinematic_014.mp3,audio/cinematic/cinematic_014.mp3,audio/mpeg,"public, max-age=31536000, immutable",0757fce6a5a22a8b0ad693edb93f6ca9625fe80b6841b801f0cd4221ec68730f,2161728
previews/cinematic/cinematic_014_preview.mp3,previews/cinematic/cinematic_014_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",7d41f32efba5b970c90346b95c7b7d6d10d9f313c81040ee0eb17a4e85bd8ed6,360847
audio/cinematic/cinematic_015.mp3,audio/cinematic/cinematic_015.mp3,audio/mpeg,"public, max-age=31536000, immutable",10ee20d293ad7f706c352ce554cf9ba492f60b5122b5be6ffe0565b28ef4d649,3649453
previews/cinematic/cinematic_015_preview.mp3,previews/cinematic/cinematic_015_preview.mp3,audio/mpeg,"public, max-age=31536000, immutable",e9508e626dbf891581320be327ade3c02a5afa4969366ed7f04e212ab39e9664,360847
audio/cinematic/cinematic_016.mp3,audio/cinematic/cinematic_016.mp3,audio/mpeg,"public, max-age=31536000, immutable",be684e81284cc91dc113413e457921c318663ce1356ec40973ce3d0acf61d75b,2031951
